CodigoProducto,NombreProducto,Periodo
PROD_A001,Laptop Dell XPS 13,2025-05
PROD_A002,Monitor LG 27 UltraGear,2025-05
PROD_A003,Teclado Mecanico Keychron,2025-05
PROD_A004,Mouse Logitech MX Master,2025-05
PROD_A005,Audifonos Sony WH-1000XM5,2025-05
PROD_A006,Silla Gamer Ergonómica,2025-05
PROD_A007,Escritorio Regulable Altura,2025-05
PROD_A008,Webcam Razer Kiyo Pro,2025-05
PROD_A009,Micrófono Blue Yeti,2025-05
PROD_A010,Disco Externo SSD 2TB,2025-05
PROD_A011,Hub USB-C Premium,2025-05
PROD_A012,Tablet Grafica Wacom,2025-05
PROD_A013,Impresora Epson EcoTank,2025-05
PROD_A014,Router Asus WiFi 6,2025-05
PROD_A015,Power Bank 20000mAh,2025-05
PROD_A016,Cámara Canon EOS R6,2025-05
PROD_A017,Lente 50mm f/1.8,2025-05
PROD_A018,Trípode Manfrotto Prof,2025-05
PROD_A019,Tarjeta SD 128GB V90,2025-05
PROD_A020,Flash Externo Godox,2025-05
PROD_A021,Parlante JBL Flip 6,2025-05
PROD_A022,Smartwatch Apple Watch,2025-05
PROD_A023,Smartphone Samsung S24,2025-05
PROD_A024,Kindle Paperwhite,2025-05
PROD_A025,Consola PlayStation 5,2025-05
PROD_A026,Joystick DualSense,2025-05
PROD_A027,Gafas VR Quest 3,2025-05
PROD_A028,Drone DJI Mini 4 Pro,2025-05
PROD_A029,Filtro de Privacidad 14in,2025-05
PROD_A030,Limpiador de Pantallas Kit,2025-05
PROD_A031,Cargador GaN 65W,2025-05
PROD_A032,Cable HDMI 2.1 3m,2025-05
PROD_A033,Organizador de Cables,2025-05
PROD_A034,Luz LED para Escritorio,2025-05
PROD_A035,Soporte para Laptop,2025-05
PROD_A036,Pad Mouse XXL,2025-05
PROD_A037,Funda para Laptop 13in,2025-05
PROD_A038,Adaptador Ethernet USB,2025-05
PROD_A039,Teclado Numérico Inal,2025-05
PROD_A040,Lector de Huellas USB,2025-05
PROD_A041,Batería para UPS 12V,2025-05
PROD_A042,Estabilizador de Tensión,2025-05
PROD_A043,Multímetro Digital,2025-05
PROD_A044,Soldador de Estaño Prof,2025-05
PROD_A045,Kit de Herramientas PC,2025-05
PROD_A046,Pasta Térmica MX-4,2025-05
PROD_A047,Ventilador Noctua 120mm,2025-05
PROD_A048,Gabinete ATX Premium,2025-05
PROD_A049,Tarjeta de Sonido Int,2025-05
PROD_A050,Capturadora de Video 4K,2025-05
